;SYMBOL;MAP;chromosome_name
ENSG00000201628;ENSG00000201628;NA;6
ENSG00000201633;ENSG00000201633;NA;4
ENSG00000201635;ENSG00000201635;NA;3
ENSG00000201640;ENSG00000201640;NA;4
ENSG00000201644;ENSG00000201644;NA;4
ENSG00000201663;ENSG00000201663;NA;12
ENSG00000201668;ENSG00000201668;NA;18
ENSG00000201676;ENSG00000201676;NA;4
ENSG00000201680;ENSG00000201680;NA;6
ENSG00000201683;ENSG00000201683;NA;6
ENSG00000201715;ENSG00000201715;NA;5
ENSG00000201723;ENSG00000201723;NA;18
ENSG00000201724;ENSG00000201724;NA;15
ENSG00000201741;ENSG00000201741;NA;17
ENSG00000201749;ENSG00000201749;NA;9
ENSG00000201756;ENSG00000201756;NA;11
ENSG00000201774;ENSG00000201774;NA;7
ENSG00000201778;ENSG00000201778;NA;3
ENSG00000201786;ENSG00000201786;NA;4
ENSG00000201788;ENSG00000201788;NA;12
ENSG00000201791;ENSG00000201791;NA;1
ENSG00000201800;ENSG00000201800;NA;3
ENSG00000201820;ENSG00000201820;NA;14
ENSG00000201827;ENSG00000201827;NA;3
ENSG00000201830;ENSG00000201830;NA;9
ENSG00000201843;ENSG00000201843;NA;9
ENSG00000201850;ENSG00000201850;NA;16
ENSG00000201860;ENSG00000201860;NA;3
ENSG00000201867;ENSG00000201867;NA;11
ENSG00000201868;ENSG00000201868;NA;1
ENSG00000201881;ENSG00000201881;NA;10
ENSG00000201882;ENSG00000201882;NA;X
ENSG00000201884;ENSG00000201884;NA;10
ENSG00000201885;ENSG00000201885;NA;7
ENSG00000201892;ENSG00000201892;NA;2
ENSG00000201912;ENSG00000201912;NA;X
ENSG00000201913;ENSG00000201913;NA;7
ENSG00000201916;ENSG00000201916;NA;22
ENSG00000201931;ENSG00000201931;NA;4
ENSG00000201933;ENSG00000201933;NA;7
ENSG00000201938;ENSG00000201938;NA;9
ENSG00000201959;ENSG00000201959;NA;7
ENSG00000201965;ENSG00000201965;NA;3
ENSG00000201984;ENSG00000201984;NA;21
ENSG00000201987;ENSG00000201987;NA;1
ENSG00000201988;ENSG00000201988;NA;6
ENSG00000201990;ENSG00000201990;NA;7
ENSG00000202001;ENSG00000202001;NA;8
ENSG00000202008;ENSG00000202008;NA;2
ENSG00000202014;ENSG00000202014;NA;4
ENSG00000202019;ENSG00000202019;NA;22
ENSG00000202021;ENSG00000202021;NA;7
ENSG00000202027;ENSG00000202027;NA;1
ENSG00000202035;ENSG00000202035;NA;7
ENSG00000202041;ENSG00000202041;NA;1
ENSG00000202046;ENSG00000202046;NA;2
ENSG00000202071;ENSG00000202071;NA;3
ENSG00000202078;ENSG00000202078;NA;1
ENSG00000202079;ENSG00000202079;NA;1
ENSG00000202093;ENSG00000202093;NA;18
ENSG00000202099;ENSG00000202099;NA;2
ENSG00000202100;ENSG00000202100;NA;17
ENSG00000202137;ENSG00000202137;NA;2
ENSG00000202141;ENSG00000202141;NA;2
ENSG00000202144;ENSG00000202144;NA;X
ENSG00000202146;ENSG00000202146;NA;12
ENSG00000202169;ENSG00000202169;NA;4
ENSG00000202177;ENSG00000202177;NA;3
ENSG00000202182;ENSG00000202182;NA;14
ENSG00000202187;ENSG00000202187;NA;12
ENSG00000202190;ENSG00000202190;NA;10
ENSG00000202195;ENSG00000202195;NA;2
ENSG00000202200;ENSG00000202200;NA;6
ENSG00000202211;ENSG00000202211;NA;15
ENSG00000202216;ENSG00000202216;NA;2
ENSG00000202217;ENSG00000202217;NA;9
ENSG00000202222;ENSG00000202222;NA;1
ENSG00000202224;ENSG00000202224;NA;18
ENSG00000202249;ENSG00000202249;NA;12
ENSG00000202251;ENSG00000202251;NA;17
ENSG00000202254;ENSG00000202254;NA;1
ENSG00000202255;ENSG00000202255;NA;20
ENSG00000202260;ENSG00000202260;NA;20
ENSG00000202272;ENSG00000202272;NA;X
ENSG00000202273;ENSG00000202273;NA;7
ENSG00000202276;ENSG00000202276;NA;11
ENSG00000202279;ENSG00000202279;NA;X
ENSG00000202306;ENSG00000202306;NA;14
ENSG00000202309;ENSG00000202309;NA;2
ENSG00000202310;ENSG00000202310;NA;8
ENSG00000202318;ENSG00000202318;NA;12
ENSG00000202332;ENSG00000202332;NA;17
ENSG00000202344;ENSG00000202344;NA;2
ENSG00000202345;ENSG00000202345;NA;5
ENSG00000202357;ENSG00000202357;NA;19
ENSG00000202360;ENSG00000202360;NA;8
ENSG00000202361;ENSG00000202361;NA;17
ENSG00000202368;ENSG00000202368;NA;12
ENSG00000202382;ENSG00000202382;NA;2
ENSG00000202385;ENSG00000202385;NA;1
ENSG00000202388;ENSG00000202388;NA;3
ENSG00000202399;ENSG00000202399;NA;8
ENSG00000202402;ENSG00000202402;NA;14
ENSG00000202407;ENSG00000202407;NA;X
ENSG00000202410;ENSG00000202410;NA;X
ENSG00000202414;ENSG00000202414;NA;20
ENSG00000202415;ENSG00000202415;NA;1
ENSG00000202417;ENSG00000202417;NA;5
ENSG00000202433;ENSG00000202433;NA;13
ENSG00000202438;ENSG00000202438;NA;6
ENSG00000202449;ENSG00000202449;NA;4
ENSG00000202459;ENSG00000202459;NA;14
ENSG00000202461;ENSG00000202461;NA;1
ENSG00000202469;ENSG00000202469;NA;X
ENSG00000202470;ENSG00000202470;NA;12
ENSG00000202476;ENSG00000202476;NA;16
ENSG00000202479;ENSG00000202479;NA;2
ENSG00000202495;ENSG00000202495;NA;X
ENSG00000202508;ENSG00000202508;NA;10
ENSG00000202512;ENSG00000202512;NA;5
ENSG00000202514;ENSG00000202514;NA;8
ENSG00000202522;ENSG00000202522;NA;11
ENSG00000202523;ENSG00000202523;NA;9
ENSG00000202533;ENSG00000202533;NA;5
ENSG00000202536;ENSG00000202536;NA;4
ENSG00000202542;ENSG00000202542;NA;15
ENSG00000203258;ENSG00000203258;NA;11
ENSG00000203262;ENSG00000203262;NA;X
ENSG00000203266;ENSG00000203266;NA;20
ENSG00000203279;ENSG00000203279;NA;9
ENSG00000203286;ENSG00000203286;NA;9
ENSG00000203307;ENSG00000203307;NA;1
ENSG00000203321;ENSG00000203321;NA;9
ENSG00000203325;ENSG00000203325;NA;1
ENSG00000203327;ENSG00000203327;NA;2
ENSG00000203334;ENSG00000203334;NA;11
ENSG00000203335;ENSG00000203335;NA;7
ENSG00000203362;ENSG00000203362;NA;6
ENSG00000203363;ENSG00000203363;NA;2
ENSG00000203364;ENSG00000203364;NA;9
ENSG00000203387;ENSG00000203387;NA;2
ENSG00000203392;ENSG00000203392;NA;15
ENSG00000203395;ENSG00000203395;NA;2
ENSG00000203397;ENSG00000203397;NA;X
ENSG00000203402;ENSG00000203402;NA;X
ENSG00000203408;ENSG00000203408;NA;12
ENSG00000203411;ENSG00000203411;NA;15
ENSG00000203413;ENSG00000203413;NA;8
ENSG00000203414;ENSG00000203414;NA;10
ENSG00000203416;ENSG00000203416;NA;22
ENSG00000203434;ENSG00000203434;NA;10
ENSG00000203435;ENSG00000203435;NA;2
ENSG00000203436;ENSG00000203436;NA;4
ENSG00000203462;ENSG00000203462;NA;7
ENSG00000203469;ENSG00000203469;NA;1
ENSG00000203472;ENSG00000203472;NA;16
ENSG00000203492;ENSG00000203492;NA;6
ENSG00000203496;ENSG00000203496;NA;10
ENSG00000203497;ENSG00000203497;NA;10
ENSG00000203498;ENSG00000203498;NA;6
ENSG00000203520;ENSG00000203520;NA;11
ENSG00000203531;ENSG00000203531;NA;2
ENSG00000203546;ENSG00000203546;NA;14
ENSG00000203565;ENSG00000203565;NA;10
ENSG00000203573;ENSG00000203573;NA;15
ENSG00000203588;ENSG00000203588;NA;X
ENSG00000203593;ENSG00000203593;NA;12
ENSG00000203605;ENSG00000203605;NA;1
ENSG00000203616;ENSG00000203616;NA;21
ENSG00000203620;ENSG00000203620;NA;1
ENSG00000203635;ENSG00000203635;NA;2
ENSG00000203643;ENSG00000203643;NA;2
ENSG00000203644;ENSG00000203644;NA;3
ENSG00000203647;ENSG00000203647;NA;3
ENSG00000203648;ENSG00000203648;NA;12
ENSG00000203706;ENSG00000203706;NA;1
ENSG00000203709;ENSG00000203709;NA;1
ENSG00000203761;ENSG00000203761;NA;1
ENSG00000203804;ENSG00000203804;NA;1
ENSG00000203825;ENSG00000203825;NA;1
ENSG00000203855;ENSG00000203855;NA;1
ENSG00000203971;ENSG00000203971;NA;20
ENSG00000204003;ENSG00000204003;NA;9
ENSG00000204011;ENSG00000204011;NA;9
ENSG00000204031;ENSG00000204031;NA;9
ENSG00000204049;ENSG00000204049;NA;10
ENSG00000204053;ENSG00000204053;NA;X
ENSG00000204054;ENSG00000204054;NA;9
ENSG00000204055;ENSG00000204055;NA;9
ENSG00000204072;ENSG00000204072;NA;X
ENSG00000204110;ENSG00000204110;NA;6
ENSG00000204121;ENSG00000204121;NA;2
ENSG00000204183;ENSG00000204183;NA;20
ENSG00000204194;ENSG00000204194;NA;6
ENSG00000204196;ENSG00000204196;NA;2
ENSG00000204253;ENSG00000204253;NA;2
ENSG00000204352;ENSG00000204352;NA;9
ENSG00000204368;ENSG00000204368;NA;X
ENSG00000204398;ENSG00000204398;NA;13
ENSG00000204399;ENSG00000204399;NA;2
ENSG00000204422;ENSG00000204422;NA;6
ENSG00000204429;ENSG00000204429;NA;9
ENSG00000204434;ENSG00000204434;NA;2
ENSG00000204437;ENSG00000204437;NA;10
ENSG00000204456;ENSG00000204456;NA;11
ENSG00000204471;ENSG00000204471;NA;17
ENSG00000204528;ENSG00000204528;NA;6
ENSG00000204529;ENSG00000204529;NA;11
ENSG00000204556;ENSG00000204556;NA;20
ENSG00000204584;ENSG00000204584;NA;17
ENSG00000204620;ENSG00000204620;NA;X
ENSG00000204637;ENSG00000204637;NA;2
ENSG00000204652;ENSG00000204652;NA;17
ENSG00000204662;ENSG00000204662;NA;20
ENSG00000204670;ENSG00000204670;NA;2
ENSG00000204685;ENSG00000204685;NA;2
ENSG00000204709;ENSG00000204709;NA;6
ENSG00000204776;ENSG00000204776;NA;9
ENSG00000204780;ENSG00000204780;NA;9
ENSG00000204787;ENSG00000204787;NA;2
ENSG00000204789;ENSG00000204789;NA;6
ENSG00000204791;ENSG00000204791;NA;8
ENSG00000204801;ENSG00000204801;NA;9
ENSG00000204814;ENSG00000204814;NA;9
ENSG00000204816;ENSG00000204816;NA;9
ENSG00000204818;ENSG00000204818;NA;9
ENSG00000204837;ENSG00000204837;NA;9
ENSG00000204850;ENSG00000204850;NA;19
ENSG00000204860;ENSG00000204860;NA;9
ENSG00000204894;ENSG00000204894;NA;7
ENSG00000204915;ENSG00000204915;NA;X
ENSG00000204929;ENSG00000204929;NA;2
ENSG00000204933;ENSG00000204933;NA;19
ENSG00000204959;ENSG00000204959;NA;7
ENSG00000204971;ENSG00000204971;NA;11
ENSG00000204990;ENSG00000204990;NA;7
ENSG00000205018;ENSG00000205018;NA;16
ENSG00000205025;ENSG00000205025;NA;11
ENSG00000205041;ENSG00000205041;NA;19
ENSG00000205044;ENSG00000205044;NA;11
ENSG00000205056;ENSG00000205056;NA;12
ENSG00000205100;ENSG00000205100;NA;4
ENSG00000205105;ENSG00000205105;NA;13
ENSG00000205106;ENSG00000205106;NA;11
ENSG00000205176;ENSG00000205176;NA;8
ENSG00000205215;ENSG00000205215;NA;17
ENSG00000205236;ENSG00000205236;NA;7
ENSG00000205266;ENSG00000205266;NA;17
ENSG00000205300;ENSG00000205300;NA;20
ENSG00000205312;ENSG00000205312;NA;17
ENSG00000205325;ENSG00000205325;NA;17
ENSG00000205360;ENSG00000205360;NA;16
ENSG00000205412;ENSG00000205412;NA;3
ENSG00000205414;ENSG00000205414;NA;16
ENSG00000205424;ENSG00000205424;NA;21
ENSG00000205433;ENSG00000205433;NA;10
ENSG00000205449;ENSG00000205449;NA;5
ENSG00000205452;ENSG00000205452;NA;16
ENSG00000205464;ENSG00000205464;NA;5
ENSG00000205488;ENSG00000205488;NA;10
ENSG00000205494;ENSG00000205494;NA;11
ENSG00000205534;ENSG00000205534;NA;16
ENSG00000205537;ENSG00000205537;NA;12
ENSG00000205578;ENSG00000205578;NA;7
ENSG00000205579;ENSG00000205579;NA;14
ENSG00000205584;ENSG00000205584;NA;7
ENSG00000205596;ENSG00000205596;NA;7
ENSG00000205622;ENSG00000205622;NA;21
ENSG00000205625;ENSG00000205625;NA;6
ENSG00000205653;ENSG00000205653;NA;6
ENSG00000205682;ENSG00000205682;NA;4
ENSG00000205702;ENSG00000205702;NA;22
ENSG00000205716;ENSG00000205716;NA;2
ENSG00000205740;ENSG00000205740;NA;10
ENSG00000205745;ENSG00000205745;NA;7
ENSG00000205754;ENSG00000205754;NA;12
ENSG00000205822;ENSG00000205822;NA;13
ENSG00000205830;ENSG00000205830;NA;4
ENSG00000205879;ENSG00000205879;NA;8
ENSG00000205930;ENSG00000205930;NA;21
ENSG00000205940;ENSG00000205940;NA;4
ENSG00000205955;ENSG00000205955;NA;3
ENSG00000205959;ENSG00000205959;NA;4
ENSG00000205971;ENSG00000205971;NA;7
ENSG00000205976;ENSG00000205976;NA;5
ENSG00000206014;ENSG00000206014;NA;8
ENSG00000206028;ENSG00000206028;NA;22
ENSG00000206034;ENSG00000206034;NA;8
ENSG00000206062;ENSG00000206062;NA;X
ENSG00000206066;ENSG00000206066;NA;22
ENSG00000206120;ENSG00000206120;NA;3
ENSG00000206144;ENSG00000206144;NA;8
ENSG00000206145;ENSG00000206145;NA;22
ENSG00000206168;ENSG00000206168;NA;16
ENSG00000206192;ENSG00000206192;NA;13
ENSG00000206228;ENSG00000206228;NA;8
ENSG00000206249;ENSG00000206249;NA;20
ENSG00000206341;ENSG00000206341;NA;6
ENSG00000206417;ENSG00000206417;NA;3
ENSG00000206549;ENSG00000206549;NA;3
ENSG00000206567;ENSG00000206567;NA;3
ENSG00000206582;ENSG00000206582;NA;20
ENSG00000206636;ENSG00000206636;NA;12
ENSG00000206639;ENSG00000206639;NA;X
ENSG00000206640;ENSG00000206640;NA;1
ENSG00000206645;ENSG00000206645;NA;3
ENSG00000206646;ENSG00000206646;NA;X
ENSG00000206651;ENSG00000206651;NA;1
ENSG00000206659;ENSG00000206659;NA;1
ENSG00000206660;ENSG00000206660;NA;10
ENSG00000206662;ENSG00000206662;NA;12
ENSG00000206663;ENSG00000206663;NA;X
ENSG00000206669;ENSG00000206669;NA;19
ENSG00000206672;ENSG00000206672;NA;6
ENSG00000206676;ENSG00000206676;NA;15
ENSG00000206677;ENSG00000206677;NA;X
ENSG00000206679;ENSG00000206679;NA;1
ENSG00000206682;ENSG00000206682;NA;5
ENSG00000206690;ENSG00000206690;NA;11
ENSG00000206692;ENSG00000206692;NA;1
ENSG00000206699;ENSG00000206699;NA;8
ENSG00000206702;ENSG00000206702;NA;6
ENSG00000206704;ENSG00000206704;NA;1
ENSG00000206705;ENSG00000206705;NA;7
ENSG00000206706;ENSG00000206706;NA;16
ENSG00000206711;ENSG00000206711;NA;4
ENSG00000206713;ENSG00000206713;NA;17
ENSG00000206714;ENSG00000206714;NA;5
ENSG00000206717;ENSG00000206717;NA;6
ENSG00000206719;ENSG00000206719;NA;8
ENSG00000206721;ENSG00000206721;NA;3
ENSG00000206728;ENSG00000206728;NA;3
ENSG00000206734;ENSG00000206734;NA;17
ENSG00000206738;ENSG00000206738;NA;4
ENSG00000206739;ENSG00000206739;NA;22
ENSG00000206741;ENSG00000206741;NA;5
ENSG00000206751;ENSG00000206751;NA;14
ENSG00000206756;ENSG00000206756;NA;10
ENSG00000206768;ENSG00000206768;NA;14
ENSG00000206770;ENSG00000206770;NA;5
ENSG00000206779;ENSG00000206779;NA;1
ENSG00000206781;ENSG00000206781;NA;15
ENSG00000206784;ENSG00000206784;NA;9
ENSG00000206790;ENSG00000206790;NA;12
ENSG00000206792;ENSG00000206792;NA;X
ENSG00000206795;ENSG00000206795;NA;X
ENSG00000206797;ENSG00000206797;NA;20
ENSG00000206805;ENSG00000206805;NA;17
ENSG00000206806;ENSG00000206806;NA;11
ENSG00000206808;ENSG00000206808;NA;11
ENSG00000206813;ENSG00000206813;NA;22
ENSG00000206814;ENSG00000206814;NA;5
ENSG00000206816;ENSG00000206816;NA;11
ENSG00000206817;ENSG00000206817;NA;1
ENSG00000206822;ENSG00000206822;NA;14
ENSG00000206824;ENSG00000206824;NA;17
ENSG00000206832;ENSG00000206832;NA;1
ENSG00000206840;ENSG00000206840;NA;10
ENSG00000206844;ENSG00000206844;NA;X
ENSG00000206846;ENSG00000206846;NA;15
ENSG00000206847;ENSG00000206847;NA;11
ENSG00000206850;ENSG00000206850;NA;12
ENSG00000206854;ENSG00000206854;NA;13
ENSG00000206858;ENSG00000206858;NA;11
ENSG00000206862;ENSG00000206862;NA;X
ENSG00000206865;ENSG00000206865;NA;18
ENSG00000206895;ENSG00000206895;NA;7
ENSG00000206905;ENSG00000206905;NA;1
ENSG00000206911;ENSG00000206911;NA;11
ENSG00000206912;ENSG00000206912;NA;5
ENSG00000206914;ENSG00000206914;NA;12
ENSG00000206925;ENSG00000206925;NA;19
ENSG00000206927;ENSG00000206927;NA;16
ENSG00000206929;ENSG00000206929;NA;12
ENSG00000206950;ENSG00000206950;NA;8
ENSG00000206951;ENSG00000206951;NA;2
ENSG00000206952;ENSG00000206952;NA;16
ENSG00000206957;ENSG00000206957;NA;15
ENSG00000206959;ENSG00000206959;NA;20
ENSG00000206964;ENSG00000206964;NA;2
ENSG00000206967;ENSG00000206967;NA;11
ENSG00000206976;ENSG00000206976;NA;11
ENSG00000206978;ENSG00000206978;NA;4
ENSG00000206982;ENSG00000206982;NA;6
ENSG00000206990;ENSG00000206990;NA;1
ENSG00000206995;ENSG00000206995;NA;15
ENSG00000206998;ENSG00000206998;NA;20
ENSG00000207009;ENSG00000207009;NA;4
ENSG00000207011;ENSG00000207011;NA;17
ENSG00000207020;ENSG00000207020;NA;5
ENSG00000207021;ENSG00000207021;NA;17
ENSG00000207024;ENSG00000207024;NA;11
ENSG00000207025;ENSG00000207025;NA;X
ENSG00000207032;ENSG00000207032;NA;9
ENSG00000207034;ENSG00000207034;NA;18
ENSG00000207039;ENSG00000207039;NA;1
ENSG00000207049;ENSG00000207049;NA;2
ENSG00000207061;ENSG00000207061;NA;7
ENSG00000207069;ENSG00000207069;NA;2
ENSG00000207073;ENSG00000207073;NA;19
ENSG00000207075;ENSG00000207075;NA;4
ENSG00000207080;ENSG00000207080;NA;1
ENSG00000207086;ENSG00000207086;NA;2
ENSG00000207091;ENSG00000207091;NA;15
ENSG00000207092;ENSG00000207092;NA;18
ENSG00000207101;ENSG00000207101;NA;8
ENSG00000207105;ENSG00000207105;NA;15
ENSG00000207108;ENSG00000207108;NA;1
ENSG00000207117;ENSG00000207117;NA;2
ENSG00000207123;ENSG00000207123;NA;17
ENSG00000207127;ENSG00000207127;NA;17
ENSG00000207131;ENSG00000207131;NA;6
ENSG00000207132;ENSG00000207132;NA;17
ENSG00000207139;ENSG00000207139;NA;1
ENSG00000207142;ENSG00000207142;NA;12
ENSG00000207146;ENSG00000207146;NA;X
ENSG00000207148;ENSG00000207148;NA;4
ENSG00000207151;ENSG00000207151;NA;X
ENSG00000207161;ENSG00000207161;NA;2
ENSG00000207164;ENSG00000207164;NA;14
ENSG00000207173;ENSG00000207173;NA;16
ENSG00000207176;ENSG00000207176;NA;12
ENSG00000207189;ENSG00000207189;NA;12
ENSG00000207193;ENSG00000207193;NA;6
ENSG00000207195;ENSG00000207195;NA;4
ENSG00000207196;ENSG00000207196;NA;11
ENSG00000207207;ENSG00000207207;NA;2
ENSG00000207209;ENSG00000207209;NA;1
ENSG00000207210;ENSG00000207210;NA;5
ENSG00000207218;ENSG00000207218;NA;2
ENSG00000207223;ENSG00000207223;NA;15
ENSG00000207229;ENSG00000207229;NA;5
ENSG00000207231;ENSG00000207231;NA;4
ENSG00000207235;ENSG00000207235;NA;17
ENSG00000207240;ENSG00000207240;NA;18
ENSG00000207243;ENSG00000207243;NA;16
ENSG00000207247;ENSG00000207247;NA;6
ENSG00000207252;ENSG00000207252;NA;11
ENSG00000207258;ENSG00000207258;NA;8
ENSG00000207265;ENSG00000207265;NA;19
ENSG00000207271;ENSG00000207271;NA;10
ENSG00000207281;ENSG00000207281;NA;19
ENSG00000207282;ENSG00000207282;NA;20
ENSG00000207283;ENSG00000207283;NA;3
ENSG00000207286;ENSG00000207286;NA;6
ENSG00000207290;ENSG00000207290;NA;5
ENSG00000207292;ENSG00000207292;NA;6
ENSG00000207293;ENSG00000207293;NA;5
ENSG00000207294;ENSG00000207294;NA;16
ENSG00000207300;ENSG00000207300;NA;6
ENSG00000207302;ENSG00000207302;NA;1
ENSG00000207303;ENSG00000207303;NA;2
ENSG00000207305;ENSG00000207305;NA;20
ENSG00000207316;ENSG00000207316;NA;3
ENSG00000207317;ENSG00000207317;NA;5
ENSG00000207319;ENSG00000207319;NA;2
ENSG00000207320;ENSG00000207320;NA;X
ENSG00000207326;ENSG00000207326;NA;1
ENSG00000207329;ENSG00000207329;NA;9
ENSG00000207342;ENSG00000207342;NA;14
ENSG00000207351;ENSG00000207351;NA;3
ENSG00000207356;ENSG00000207356;NA;1
ENSG00000207363;ENSG00000207363;NA;X
ENSG00000207365;ENSG00000207365;NA;12
ENSG00000207368;ENSG00000207368;NA;3
ENSG00000207370;ENSG00000207370;NA;3
ENSG00000207371;ENSG00000207371;NA;6
ENSG00000207379;ENSG00000207379;NA;1
ENSG00000207380;ENSG00000207380;NA;20
ENSG00000207382;ENSG00000207382;NA;17
ENSG00000207383;ENSG00000207383;NA;2
ENSG00000207384;ENSG00000207384;NA;4
ENSG00000207386;ENSG00000207386;NA;2
ENSG00000207387;ENSG00000207387;NA;12
ENSG00000207391;ENSG00000207391;NA;5
ENSG00000207395;ENSG00000207395;NA;15
ENSG00000207401;ENSG00000207401;NA;9
ENSG00000207403;ENSG00000207403;NA;6
ENSG00000207404;ENSG00000207404;NA;5
ENSG00000207408;ENSG00000207408;NA;X
ENSG00000207411;ENSG00000207411;NA;2
ENSG00000207416;ENSG00000207416;NA;21
ENSG00000207417;ENSG00000207417;NA;8
ENSG00000207420;ENSG00000207420;NA;5
ENSG00000207421;ENSG00000207421;NA;1
ENSG00000207425;ENSG00000207425;NA;16
ENSG00000207426;ENSG00000207426;NA;X
ENSG00000207431;ENSG00000207431;NA;6
ENSG00000207438;ENSG00000207438;NA;10
ENSG00000207439;ENSG00000207439;NA;5
ENSG00000207450;ENSG00000207450;NA;8
ENSG00000207466;ENSG00000207466;NA;1
ENSG00000207467;ENSG00000207467;NA;12
ENSG00000207473;ENSG00000207473;NA;10
ENSG00000207480;ENSG00000207480;NA;4
ENSG00000207481;ENSG00000207481;NA;4
ENSG00000207484;ENSG00000207484;NA;15
ENSG00000207488;ENSG00000207488;NA;7
ENSG00000207494;ENSG00000207494;NA;10
ENSG00000207497;ENSG00000207497;NA;4
ENSG00000207499;ENSG00000207499;NA;6
ENSG00000207512;ENSG00000207512;NA;3
ENSG00000207525;ENSG00000207525;NA;16
ENSG00000207751;ENSG00000207751;NA;22
ENSG00000207922;ENSG00000207922;NA;3
ENSG00000207955;ENSG00000207955;NA;9
ENSG00000209082;ENSG00000209082;NA;MT
ENSG00000210049;ENSG00000210049;NA;MT
ENSG00000210077;ENSG00000210077;NA;MT
ENSG00000210082;MT-RNR2;NA;MT
ENSG00000210100;ENSG00000210100;NA;MT
ENSG00000210107;ENSG00000210107;NA;MT
ENSG00000210112;MT-TM;NA;MT
ENSG00000210117;ENSG00000210117;NA;MT
ENSG00000210127;ENSG00000210127;NA;MT
ENSG00000210135;ENSG00000210135;NA;MT
ENSG00000210140;ENSG00000210140;NA;MT
ENSG00000210144;ENSG00000210144;NA;MT
ENSG00000210154;ENSG00000210154;NA;MT
ENSG00000210156;ENSG00000210156;NA;MT
ENSG00000210164;ENSG00000210164;NA;MT
ENSG00000210174;ENSG00000210174;NA;MT
ENSG00000210176;ENSG00000210176;NA;MT
ENSG00000210184;ENSG00000210184;NA;MT
ENSG00000210191;ENSG00000210191;NA;MT
ENSG00000210194;ENSG00000210194;NA;MT
ENSG00000210195;ENSG00000210195;NA;MT
ENSG00000210196;ENSG00000210196;NA;MT
ENSG00000211459;MT-RNR1;NA;MT
ENSG00000211491;ENSG00000211491;NA;13
ENSG00000211513;ENSG00000211513;NA;19
ENSG00000211643;ENSG00000211643;NA;22
ENSG00000211673;ENSG00000211673;NA;22
ENSG00000211674;ENSG00000211674;NA;22
ENSG00000211676;ENSG00000211676;NA;22
ENSG00000211678;ENSG00000211678;NA;22
ENSG00000211681;ENSG00000211681;NA;22
ENSG00000211682;ENSG00000211682;NA;22
ENSG00000211683;ENSG00000211683;NA;22
ENSG00000211693;ENSG00000211693;NA;7
ENSG00000211694;ENSG00000211694;NA;7
ENSG00000211808;ENSG00000211808;NA;14
ENSG00000211829;ENSG00000211829;NA;14
ENSG00000212051;ENSG00000212051;NA;18
ENSG00000212163;ENSG00000212163;NA;17
ENSG00000212205;ENSG00000212205;NA;1
ENSG00000212241;ENSG00000212241;NA;X
ENSG00000212306;ENSG00000212306;NA;15
ENSG00000212319;ENSG00000212319;NA;3
ENSG00000212325;ENSG00000212325;NA;10
ENSG00000212335;ENSG00000212335;NA;14
ENSG00000212371;ENSG00000212371;NA;14
ENSG00000212380;ENSG00000212380;NA;15
ENSG00000212392;ENSG00000212392;NA;3
ENSG00000212395;ENSG00000212395;NA;9
ENSG00000212397;ENSG00000212397;NA;11
ENSG00000212404;ENSG00000212404;NA;2
ENSG00000212432;ENSG00000212432;NA;12
ENSG00000212440;ENSG00000212440;NA;12
ENSG00000212448;ENSG00000212448;NA;12
ENSG00000212512;ENSG00000212512;NA;1
ENSG00000212528;ENSG00000212528;NA;15
ENSG00000212533;ENSG00000212533;NA;12
ENSG00000212541;ENSG00000212541;NA;1
ENSG00000212555;ENSG00000212555;NA;20
ENSG00000212556;ENSG00000212556;NA;3
ENSG00000212569;ENSG00000212569;NA;22
ENSG00000212572;ENSG00000212572;NA;18
ENSG00000212580;ENSG00000212580;NA;2
ENSG00000212593;ENSG00000212593;NA;16
ENSG00000212663;ENSG00000212663;NA;X
ENSG00000212717;ENSG00000212717;NA;20
ENSG00000212743;ENSG00000212743;NA;10
ENSG00000212769;ENSG00000212769;NA;10
ENSG00000212789;ENSG00000212789;NA;11
ENSG00000212829;ENSG00000212829;NA;9
ENSG00000212855;ENSG00000212855;NA;Y
ENSG00000212856;ENSG00000212856;NA;Y
ENSG00000212930;ENSG00000212930;NA;5
ENSG00000212939;ENSG00000212939;NA;22
ENSG00000212952;ENSG00000212952;NA;9
ENSG00000212961;ENSG00000212961;NA;11
ENSG00000212994;ENSG00000212994;NA;8
ENSG00000213003;ENSG00000213003;NA;8
ENSG00000213014;ENSG00000213014;NA;19
ENSG00000213016;ENSG00000213016;NA;19
ENSG00000213018;ENSG00000213018;NA;X
ENSG00000213025;ENSG00000213025;NA;10
ENSG00000213026;ENSG00000213026;NA;1
ENSG00000213028;ENSG00000213028;NA;1
ENSG00000213032;ENSG00000213032;NA;1
ENSG00000213033;ENSG00000213033;NA;1
ENSG00000213036;ENSG00000213036;NA;1
ENSG00000213045;ENSG00000213045;NA;1
ENSG00000213046;ENSG00000213046;NA;1
ENSG00000213049;ENSG00000213049;NA;12
ENSG00000213050;ENSG00000213050;NA;7
ENSG00000213058;ENSG00000213058;NA;1
ENSG00000213060;ENSG00000213060;NA;1
ENSG00000213061;ENSG00000213061;NA;10
ENSG00000213062;ENSG00000213062;NA;1
ENSG00000213063;ENSG00000213063;NA;1
ENSG00000213067;ENSG00000213067;NA;7
ENSG00000213069;ENSG00000213069;NA;2
ENSG00000213073;ENSG00000213073;NA;6
ENSG00000213076;ENSG00000213076;NA;6
ENSG00000213078;ENSG00000213078;NA;6
